Run,Alg_mg_ml,HA_mg_ml,Pressure_kPa,Angle_deg,AF_mean,AF_std,Alg_pct_wv,HA_pct_wv,Total_polymer_mg_ml,Total_polymer_pct_wv,HA_fraction,Alg_fraction,Alg_HA_ratio,Formulation_label,TP,TP_pct_wv,HF,Alg_fraction_feature,Alg_HA_ratio_safe,P_over_TP,P_over_Alg,P_over_HA,Alg_x_P,HA_x_P,TP_x_P,HF_x_P,Alg_x_HA,Alg_fraction_x_HA_fraction,Angle_rad,sin_angle,cos_angle,P_x_Angle,Alg_x_Angle,HA_x_Angle,TP_x_Angle,Eta0_mean_Pa_s,Eta0_std_Pa_s,Cross_m_mean,Cross_m_std,Cross_k_mean_s,Cross_k_std_s,G_prime_mean_Pa,G_prime_std_Pa,G_double_prime_mean_Pa,G_double_prime_std_Pa,Yield_stress_mean_Pa,Yield_stress_std_Pa
22,20,80,95,120,1.16533,0.0153714,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,0.95,4.75,1.1875,1900,7600,9500,76.0,1600,0.16000000000000003,2.0943951023931953,0.8660254037844387,-0.4999999999999998,11400,2400,9600,12000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
23,20,80,105,120,1.16534,0.0191255,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.05,5.25,1.3125,2100,8400,10500,84.0,1600,0.16000000000000003,2.0943951023931953,0.8660254037844387,-0.4999999999999998,12600,2400,9600,12000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
24,20,80,115,120,1.20579,0.0158535,2.0,8.0,100,10.0,0.8,0.2,0.25,2ALG8HA,100,10.0,0.8,0.2,0.25,1.15,5.75,1.4375,2300,9200,11500,92.0,1600,0.16000000000000003,2.0943951023931953,0.8660254037844387,-0.4999999999999998,13800,2400,9600,12000,300.16633333333334,17.57787886331379,0.7369746666666667,0.07890205042540616,0.5584426666666666,0.26275807416963104,355.58633333333336,9.771632429299261,456.2193333333333,8.184651326314,513.8316666666666,20.810102026019333
25,40,40,50,60,1.80422,0.0482703,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.625,1.25,1.25,2000,2000,4000,25.0,1600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,3000,2400,2400,4800,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
26,40,40,55,60,2.44505,0.0673524,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.6875,1.375,1.375,2200,2200,4400,27.5,1600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,3300,2400,2400,4800,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
27,40,40,65,60,2.14773,0.0410755,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.8125,1.625,1.625,2600,2600,5200,32.5,1600,0.25,1.0471975511965976,0.8660254037844386,0.5000000000000001,3900,2400,2400,4800,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
28,40,40,55,90,1.55854,0.0404212,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.6875,1.375,1.375,2200,2200,4400,27.5,1600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,4950,3600,3600,7200,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
29,40,40,60,90,1.38725,0.0237332,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.75,1.5,1.5,2400,2400,4800,30.0,1600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,5400,3600,3600,7200,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
30,40,40,65,90,1.36564,0.0275376,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.8125,1.625,1.625,2600,2600,5200,32.5,1600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,5850,3600,3600,7200,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
31,40,40,70,90,1.52016,0.00885943,4.0,4.0,80,8.0,0.5,0.5,1.0,4ALG4HA,80,8.0,0.5,0.5,1.0,0.875,1.75,1.75,2800,2800,5600,35.0,1600,0.25,1.5707963267948966,1.0,6.123233995736766e-17,6300,3600,3600,7200,98.51146666666666,21.449619881325013,0.588116,0.14015338730119942,0.6832046666666667,0.6579280048313291,121.78156666666666,55.01983547106747,209.17533333333336,92.3504246461993,446.30400000000003,190.50345437288007
